Elapsed time [s]	Value [0,1E-05]
3454.258	8.85390E-7
3456.277	8.88646E-7
3458.295	8.86390E-7
3460.319	8.88609E-7
3462.338	8.79140E-7
3464.357	8.77422E-7
3468.399	8.84787E-7
3470.428	8.88825E-7
3474.466	8.88706E-7
3476.485	8.77448E-7
3478.503	8.77319E-7
3480.522	8.87368E-7
3482.546	8.78085E-7
3484.565	8.86579E-7
3486.584	8.88709E-7
3490.626	8.87037E-7
3492.645	8.77612E-7
3494.669	8.77497E-7
3496.688	8.84458E-7
3498.706	8.87898E-7
3500.730	8.88826E-7
3502.749	8.79483E-7
3504.768	8.87066E-7
3506.792	8.78752E-7
3508.810	8.77414E-7
3510.829	8.84462E-7
3512.863	8.77253E-7
3514.882	8.88410E-7
3516.896	8.88667E-7
3520.933	8.77616E-7
3522.952	8.77290E-7
3524.976	8.77381E-7
