[Header]
TITLE,Bi-O-S_bestsample_Add.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
28485380.88,,5905,2.30355,2.3228,0.174,9.3E-6,2.308206,0.026908041,0,0,0.21592611,0.005594,0.21592611,0.005594,51.11611,0.069270427,0,100,,,1,,,,3.1171E-6,0.1367459,5.327815,0,0
28485396.3,,5905,2.30436,2.3238,0.174,9.4E-6,2.3085082,0.027056973,0,0,0.2151849,0.005609,0.2151849,0.005609,26.170442,0.068272171,0,100,,,1,,,,3.1519E-6,0.1385409,5.3292103,0,0
28485411.67,,5905,2.30461,2.3245,0.174,9.3E-6,2.3089755,0.026955211,0,0,0.21516842,0.00564,0.21516842,0.00564,29.656852,0.06899862,0,100,,,1,,,,3.1184E-6,0.1365443,5.3313679,0,0
28485427.22,,5905,2.304,2.321,0.174,9.3E-6,2.3089392,0.026972941,0,0,0.21571037,0.00537,0.21571037,0.00537,26.855845,0.068394759,0,100,,,1,,,,3.1539E-6,0.1379972,5.3312001,0,0
28485442.63,,5905,2.3045,2.3231,0.174,9.4E-6,2.3092871,0.026957629,0,0,0.21542992,0.00547,0.21542992,0.00547,83.568447,0.069076819,0,100,,,1,,,,3.1187E-6,0.1367895,5.332807,0,0
28485458.05,,5905,2.30545,2.3254,0.174,9.4E-6,2.3102617,0.027092223,0,0,0.21501639,0.005847,0.21501639,0.005847,28.847106,0.068511901,0,100,,,1,,,,3.1384E-6,0.1381536,5.337309,0,0
28485473.58,,5905,2.30579,2.3253,0.174,9.4E-6,2.3101621,0.026976953,0,0,0.21454499,0.005381,0.21454499,0.005381,23.336057,0.068146883,0,100,,,1,,,,3.1483E-6,0.1370238,5.3368488,0,0
28485489.17,,5905,2.3058,2.3252,0.174,9.4E-6,2.3103209,0.026877822,0,0,0.21454798,0.005465,0.21454798,0.005465,28.600799,0.068090726,0,100,,,1,,,,3.1509E-6,0.1362938,5.3375828,0,0
28485504.63,,5905,2.30561,2.3252,0.174,9.3E-6,2.3106667,0.026951245,0,0,0.2146799,0.005319,0.2146799,0.005319,118.04449,0.068822641,0,100,,,1,,,,3.1193E-6,0.1361815,5.3391804,0,0
28485520.11,,5905,2.30571,2.3251,0.174,9.3E-6,2.3106235,0.027188124,0,0,0.21437747,0.005285,0.21437747,0.005285,132.10951,0.068820558,0,100,,,1,,,,3.115E-6,0.1376453,5.338981,0,0
28485693.02,,5905,2.40384,2.4243,0.174,9.4E-6,2.4072851,0.026014473,0,0,0.25991284,0.006766,0.25991284,0.006766,69.66769,0.081123209,0,100,,,1,,,,3.2039E-6,0.1376411,5.7950218,0,0
28485708.52,,5905,2.40419,2.4256,0.174,9.3E-6,2.4099853,0.029829724,0,0,0.26872083,0.006498,0.26872083,0.006498,130.02894,0.089394043,0,100,,,1,,,,3.006E-6,0.1622464,5.8080293,0,0
28485724.03,,5905,2.40527,2.4276,0.174,9.3E-6,2.4121471,0.031910771,0,0,0.27234085,0.006073,0.27234085,0.006073,116.32634,0.092174152,0,100,,,1,,,,2.9546E-6,0.1787881,5.8184534,0,0
28485739.52,,5905,2.4056,2.4275,0.174,9.3E-6,2.4129414,0.03246317,0,0,0.2719341,0.006239,0.2719341,0.006239,324.41577,0.091562673,0,100,,,1,,,,2.9699E-6,0.1843483,5.8222861,0,0
28485754.98,,5905,2.40575,2.4277,0.174,9.4E-6,2.4125264,0.032340725,0,0,0.27199641,0.006291,0.27199641,0.006291,339.03271,0.091556472,0,100,,,1,,,,2.9708E-6,0.1831253,5.8202834,0,0
28485770.47,,5905,2.40638,2.4281,0.174,9.4E-6,2.4131596,0.032436372,0,0,0.27173723,0.006334,0.27173723,0.006334,264.37763,0.091916462,0,100,,,1,,,,2.9563E-6,0.1831129,5.8233393,0,0
28485789.61,,5905,2.4054,2.4263,0.174,9.4E-6,2.4139477,0.032494004,0,0,0.271617,0.006317,0.271617,0.006317,343.44236,0.091778676,0,100,,,1,,,,2.9595E-6,0.1838329,5.8271434,0,0
28485805.11,,5905,2.40672,2.4266,0.174,9.4E-6,2.4139515,0.032513032,0,0,0.2709147,0.006428,0.2709147,0.006428,152.108,0.09149446,0,100,,,1,,,,2.961E-6,0.1835574,5.8271617,0,0
28485820.59,,5905,2.40737,2.4277,0.174,9.3E-6,2.4146762,0.032522165,0,0,0.27125244,0.006497,0.27125244,0.006497,224.83417,0.092034338,0,100,,,1,,,,2.9473E-6,0.1829889,5.8306609,0,0
28485837.72,,5905,2.40762,2.4279,0.174,9.4E-6,2.4154062,0.032583241,0,0,0.2700124,0.006253,0.2700124,0.006253,284.60829,0.090595617,0,100,,,1,,,,2.9804E-6,0.1840687,5.8341869,0,0
